target,opinion,sentiment,reviewID,item
features,a lot,POS,2807,Skate Park
torch,a lot better,NEG,214,New York City
length,a lot better,NEG,3365,Pirate Ship
detail,a lot more,NEG,3392,Pirate Ship
playtime,a lot more,POS,3660,Supersonic-jet
haunted house halloween themed sets,a lot more,POS,4408,Haunted House
detail,a lot of,POS,1012,1989 Batmobile™
tracks,a lot of,POS,1719,Cargo Train
detail,a lot of,POS,2069,Fire Command Unit
play value,a lot of,NEG,2432,Rescue Helicopter Transport
stickers,a lot of,NEU,2511,Ice-Cream Truck
baseplates,need a lot of,NEG,3203,Green Baseplate
playability,a lot of,POS,3284,Medieval Castle
details,a lot of,POS,4080,Assembly Square
set,a lot of bang,POS,3466,Caravan Family Holiday
bricks,a lot of colorful,POS,1897,Wildlife Rescue Operation
baby yoda,a lot of compliments,POS,1481,The Mandalorian™ & the Child
builds,a lot of different,POS,1767,Passenger Airplane
lego pieces,a lot of expert,POS,3862,Colosseum
pieces,a lot of extra,NEU,3592,Safari Wildlife Tree House
building,a lot of fun,POS,764,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
set,a lot of fun,POS,840,Batman™ & Selina Kyle™ Motorcycle Pursuit
building,a lot of fun,POS,1026,1989 Batmobile™
playing,a lot of fun,POS,1177,BOOST Creative Toolbox
building,a lot of fun,POS,1227,BOOST Creative Toolbox
build,a lot of fun,POS,1320,Goldfish
details,a lot of fun,POS,1494,The Mandalorian™ & the Child
building,a lot of fun,POS,1756,Passenger Airplane
set,a lot of fun,POS,1902,Wildlife Rescue Operation
playing,a lot of fun,POS,1998,Stunt Show Truck
building,a lot of fun,POS,2078,Fire Command Unit
set,a lot of fun,POS,2442,Rescue Helicopter Transport
lego quality,a lot of fun,POS,2727,Demolition Stunt Bike
building,a lot of fun,POS,2818,Skate Park
playing with the skate park,a lot of fun,POS,2818,Skate Park
skate park,a lot of fun,POS,2818,Skate Park
playing,a lot of fun,POS,2876,Around the World
set,a lot of fun,POS,3340,Medieval Castle
scale,a lot of fun,POS,3401,Pirate Ship
build,a lot of fun,POS,3486,Majestic Tiger
playing,a lot of fun,POS,3620,Street Racer
building,a lot of fun,POS,3815,Super Robot
piece set,a lot of fun,POS,3826,Super Robot
build,a lot of fun,POS,3837,Colosseum
build,a lot of fun,POS,3917,Colosseum
set,a lot of fun,POS,3978,Camp Nou – FC Barcelona
build,a lot of fun,POS,3978,Camp Nou – FC Barcelona
build process,a lot of fun,POS,4026,Old Trafford - Manchester United
building,a lot of fun,POS,4104,Assembly Square
building,a lot of fun,POS,4226,Assembly Square
build,a lot of fun,POS,4319,Haunted House
set,a lot of fun,POS,4330,Haunted House
details,a lot of fun,POS,4463,Haunted House
art displays,a lot of fun,POS,4531,Boutique Hotel
building,a lot of fun,POS,4578,Ghostbusters™ ECTO-1
kit,a lot of fun,POS,4689,Ghostbusters™ ECTO-1
space shuttle,a lot of fun,POS,4840,NASA Space Shuttle Discovery
build,a lot of fun not too repetitive,POS,3486,Majestic Tiger
set,a lot of good,POS,1744,Hospital
details,a lot of good,POS,1744,Hospital
features,a lot of hidden,NEU,4572,Ghostbusters™ ECTO-1
play,a lot of imaginative,POS,2006,Stunt Show Truck
pieces,a lot of individual,POS,2085,Fire Command Unit
details,a lot of interesting,POS,4313,Haunted House
